longitud,latitud,concepto
-58.461206036165592,-34.628314492086083,CUIDACOCHES NO REGISTRADOS
-58.45817807502128,-34.560129202975261,CUIDACOCHES NO REGISTRADOS
-58.44194917187798,-34.621110235811649,CUIDACOCHES NO REGISTRADOS
-58.460813428669077,-34.629143810312904,CUIDACOCHES NO REGISTRADOS
-58.401949998546478,-34.609170814882965,CUIDACOCHES NO REGISTRADOS
-58.426242077004716,-34.607386623060421,CUIDACOCHES NO REGISTRADOS
-58.411100154632507,-34.587080655864362,CUIDACOCHES NO REGISTRADOS
-58.407609601449039,-34.574503962493971,CUIDACOCHES NO REGISTRADOS
-58.427503598531722,-34.614895999605004,CUIDACOCHES NO REGISTRADOS
-58.484088548438507,-34.57319840807687,CUIDACOCHES NO REGISTRADOS
-58.375476454778337,-34.642060885043421,CUIDACOCHES NO REGISTRADOS
-58.433429283349092,-34.569302520431052,CUIDACOCHES NO REGISTRADOS
-58.458406992085429,-34.558299269673036,CUIDACOCHES NO REGISTRADOS
-58.517475230430797,-34.661985267273558,CUIDACOCHES NO REGISTRADOS
-58.400178845686192,-34.586624827275038,CUIDACOCHES NO REGISTRADOS
-58.471683810010994,-34.68912763439031,CUIDACOCHES NO REGISTRADOS
-58.380322722876187,-34.605372074596204,CUIDACOCHES NO REGISTRADOS
-58.403752244301387,-34.589078534993078,CUIDACOCHES NO REGISTRADOS
-58.42597706535522,-34.59023208085538,CUIDACOCHES NO REGISTRADOS
-58.436731809725636,-34.567455299945436,CUIDACOCHES NO REGISTRADOS
-58.370025713991659,-34.619949999003289,CUIDACOCHES NO REGISTRADOS
-58.404174940219669,-34.592513240875903,CUIDACOCHES NO REGISTRADOS
-58.449546868855606,-34.568439931420627,CUIDACOCHES NO REGISTRADOS
-58.370596443354778,-34.616588060417641,CUIDACOCHES NO REGISTRADOS
-58.483567820349386,-34.57399177148239,CUIDACOCHES NO REGISTRADOS
-58.453310812386043,-34.626790708060668,CUIDACOCHES NO REGISTRADOS
