lat,lng
-34.617791,-58.530122
-34.617791,-58.530122
-34.615539,-58.529460
-34.621738,-58.529241
-34.614980,-58.529175
-34.613747,-58.529167
-34.622839,-58.529143
-34.621794,-58.529037
-34.621794,-58.529037
-34.634099,-58.528741
-34.643905,-58.528585
-34.633912,-58.528392
-34.633912,-58.528392
-34.633912,-58.528392
-34.623674,-58.528332
-34.629265,-58.528211
-34.612984,-58.528183
-34.616244,-58.528126
-34.616244,-58.528126
-34.616244,-58.528126
-34.616244,-58.528126
-34.616244,-58.528126
-34.616244,-58.528126
-34.616244,-58.528126
-34.616244,-58.528126
-34.616244,-58.528126
-34.627267,-58.528096
-34.627267,-58.528096
-34.614482,-58.527840
-34.621648,-58.527823
-34.641725,-58.527799
-34.638390,-58.527798
-34.639098,-58.527795
-34.614650,-58.527723
-34.640216,-58.527660
-34.640216,-58.527660
-34.640216,-58.527660
-34.638333,-58.527656
-34.640756,-58.527620
-34.636300,-58.527613
-34.636300,-58.527613
-34.618417,-58.527603
-34.634079,-58.527481
-34.611258,-58.527431
-34.627272,-58.527416
-34.622727,-58.527282
-34.622727,-58.527282
-34.614997,-58.527274
-34.625677,-58.527058
-34.619014,-58.526932
-34.620694,-58.526835
-34.626126,-58.526712
-34.619177,-58.526571
-34.619177,-58.526571
-34.649022,-58.526452
-34.633002,-58.526397
-34.627248,-58.526368
-34.631197,-58.526340
-34.641102,-58.526340
-34.641102,-58.526340
-34.640411,-58.526293
-34.642518,-58.526247
-34.626085,-58.526233
-34.623984,-58.526187
-34.623984,-58.526187
-34.643914,-58.526158
-34.631719,-58.526050
-34.614308,-58.525990
-34.614308,-58.525990
-34.624162,-58.525957
-34.624162,-58.525957
-34.624162,-58.525957
-34.652645,-58.525949
-34.632312,-58.525896
-34.632312,-58.525896
-34.632389,-58.525876
-34.628802,-58.525729
-34.628802,-58.525729
-34.628802,-58.525729
-34.628802,-58.525729
-34.635533,-58.525516
-34.655594,-58.525470
-34.631788,-58.525463
-34.633433,-58.525246
-34.633433,-58.525246
-34.635519,-58.525154
-34.624704,-58.525144
-34.624704,-58.525144
-34.625283,-58.525062
-34.625283,-58.525062
-34.637174,-58.525059
-34.632035,-58.524900
-34.628260,-58.524894
-34.632049,-58.524805
-34.632079,-58.524795
-34.632856,-58.524648
-34.642794,-58.524641
-34.612094,-58.524605
-34.633163,-58.524566
-34.630019,-58.524422
-34.627643,-58.524344
-34.640110,-58.524322
-34.630001,-58.524311
-34.621571,-58.524123
-34.609060,-58.524059
-34.624034,-58.523994
-34.649643,-58.523821
-34.603416,-58.523803
-34.639860,-58.523585
-34.639860,-58.523585
-34.601007,-58.523570
-34.641128,-58.523534
-34.641297,-58.523514
-34.613104,-58.523462
-34.613800,-58.523432
-34.624526,-58.523381
-34.632903,-58.523375
-34.655136,-58.523294
-34.655136,-58.523294
-34.633502,-58.523282
-34.637043,-58.523251
-34.637043,-58.523251
-34.637043,-58.523251
-34.637043,-58.523251
-34.642479,-58.523226
-34.627135,-58.523214
-34.627211,-58.523191
-34.616119,-58.523182
-34.643650,-58.523095
-34.627825,-58.523094
-34.603847,-58.523044
-34.628284,-58.522954
-34.628284,-58.522954
-34.632659,-58.522914
-34.640471,-58.522799
-34.640471,-58.522799
-34.628838,-58.522692
-34.625331,-58.522641
-34.617208,-58.522529
-34.640455,-58.522454
-34.651557,-58.522146
-34.626555,-58.522012
-34.658439,-58.522005
-34.620820,-58.521928
-34.620820,-58.521928
-34.622723,-58.521906
-34.649234,-58.521891
-34.640286,-58.521888
-34.616146,-58.521768
-34.616146,-58.521768
-34.616146,-58.521768
-34.601806,-58.521703
-34.622128,-58.521656
-34.622128,-58.521656
-34.634310,-58.521590
-34.636493,-58.521548
-34.643905,-58.521185
-34.623157,-58.521180
-34.653769,-58.520756
-34.639070,-58.520570
-34.609637,-58.520476
-34.642562,-58.520472
-34.618089,-58.520381
-34.654750,-58.520296
-34.596296,-58.520280
-34.615732,-58.520105
-34.639097,-58.520039
-34.626780,-58.519916
-34.643424,-58.519890
-34.610178,-58.519801
-34.610178,-58.519801
-34.610681,-58.519780
-34.610681,-58.519780
-34.650851,-58.519753
-34.618567,-58.519575
-34.638917,-58.519507
-34.651624,-58.519342
-34.609127,-58.519327
-34.621593,-58.519316
-34.598017,-58.519209
-34.598017,-58.519209
-34.613208,-58.519117
-34.643682,-58.519099
-34.593499,-58.518965
-34.593499,-58.518965
-34.595631,-58.518898
-34.625505,-58.518890
-34.619272,-58.518879
-34.641445,-58.518699
-34.631990,-58.518671
-34.639167,-58.518665
-34.614568,-58.518627
-34.623402,-58.518589
-34.642496,-58.518541
-34.642289,-58.518491
-34.642289,-58.518491
-34.601036,-58.518487
-34.631828,-58.518445
-34.591038,-58.518285
-34.594226,-58.518191
-34.594226,-58.518191
-34.594226,-58.518191
-34.608621,-58.518157
-34.614048,-58.517896
-34.622824,-58.517811
-34.653142,-58.517799
-34.613244,-58.517705
-34.617653,-58.517623
-34.600403,-58.517612
-34.651966,-58.517543
-34.613797,-58.517523
-34.619893,-58.517469
-34.606108,-58.517445
-34.620484,-58.517312
-34.659595,-58.517276
-34.643766,-58.517191
-34.643766,-58.517191
-34.643766,-58.517191
-34.620382,-58.517135
-34.627859,-58.517063
-34.623824,-58.516987
-34.607798,-58.516973
-34.590226,-58.516963
-34.649746,-58.516925
-34.601091,-58.516903
-34.660486,-58.516886
-34.656835,-58.516873
-34.638449,-58.516851
-34.649306,-58.516755
-34.623670,-58.516722
-34.626617,-58.516630
-34.626096,-58.516610
-34.626096,-58.516610
-34.593758,-58.516435
-34.593758,-58.516435
-34.591151,-58.516371
-34.653369,-58.516365
-34.597279,-58.516195
-34.597279,-58.516195
-34.590802,-58.516064
-34.644752,-58.516057
-34.617571,-58.516026
-34.617571,-58.516026
-34.631094,-58.515992
-34.645721,-58.515912
-34.625404,-58.515828
-34.588689,-58.515632
-34.620302,-58.515632
-34.594585,-58.515589
-34.594585,-58.515589
-34.620609,-58.515574
-34.620609,-58.515574
-34.585207,-58.515520
-34.646236,-58.515480
-34.662702,-58.515430
-34.662702,-58.515430
-34.629994,-58.515288
-34.631922,-58.514916
-34.631922,-58.514916
-34.653996,-58.514896
-34.653996,-58.514896
-34.585394,-58.514808
-34.655955,-58.514806
-34.655955,-58.514806
-34.644381,-58.514786
-34.604068,-58.514657
-34.604022,-58.514582
-34.581832,-58.514581
-34.651254,-58.514576
-34.620045,-58.514530
-34.601920,-58.514486
-34.608902,-58.514423
-34.628514,-58.514411
-34.617821,-58.514205
-34.617821,-58.514205
-34.628412,-58.514173
-34.623745,-58.514116
-34.650598,-58.514057
-34.624455,-58.513773
-34.624455,-58.513773
-34.591828,-58.513739
-34.582545,-58.513730
-34.626051,-58.513721
-34.623440,-58.513698
-34.626068,-58.513609
-34.595936,-58.513495
-34.603435,-58.513478
-34.580928,-58.513471
